HDI Rank (2017);Country;Alpha_3;2010;2011;2012;2013;2014;2015;2016;2017
168;Afghanistan;AFG;1614;1661;1839;1849;1839;1809;1803;1804
68;Albania;ALB;9927;10208;10370;10493;10701;10970;11356;11803
147;Angola;AGO;5898;5911;6000;6188;6257;6228;5972;5819
47;Argentina;ARG;18712;19629;19225;19482;18798;19117;18585;18934
83;Armenia;ARM;6703;7022;7511;7728;7971;8196;8190;8788
3;Australia;AUS;41464;41894;42754;43118;43547;43923;44493;44649
20;Austria;AUT;43336;44453;44552;44301;44321;44305;44464;45437
80;Azerbaijan;AZE;15950;15754;15888;16593;16715;16699;16001;15847
136;Bangladesh;BGD;2443;2571;2707;2836;2973;3133;3319;3524
53;Belarus;BLR;16235;17167;17480;17656;17944;17230;16773;17168
17;Belgium;BEL;41086;41249;41046;40928;41360;41708;42084;42659
106;Belize;BLZ;7877;7857;7974;7856;8000;8128;7919;7824
163;Benin;BEN;1819;1821;1856;1935;2001;1987;2010;2064
134;Bhutan;BTN;6420;6806;7033;7071;7366;7743;8253;8709
118;Bolivia (Plurinational State of);BOL;5407;5599;5793;6091;6325;6532;6708;6886
77;Bosnia and Herzegovina;BIH;9720;9902;9930;10285;10517;10932;11338;11714
101;Botswana;BWA;13334;13889;14244;15568;15915;15357;15727;15807
79;Brazil;BRA;14538;14973;15120;15433;15374;14703;14077;14103
51;Bulgaria;BGR;15283;15676;15772;15997;16302;17000;17795;18563
183;Burkina Faso;BFA;1423;1473;1521;1562;1582;1596;1642;1703
185;Burundi;BDI;764;772;779;791;803;748;721;702
125;Cabo Verde;CPV;5828;5992;5987;5964;5928;5915;6065;6223
146;Cambodia;KHM;2523;2659;2807;2964;3124;3291;3465;3645
151;Cameroon;CMR;2930;2969;3021;3100;3196;3289;3347;3365
12;Canada;CAN;40699;41565;41795;42339;43079;43149;43238;44018
188;Central African Republic (the);CAF;881;905;939;593;597;622;643;661
186;Chad;TCD;1925;1864;1963;2007;2077;2067;1878;1768
44;Chile;CHL;19442;20438;21330;21998;22195;22517;22614;22767
90;Colombia;COL;10901;11496;11840;12296;12716;12985;13135;13255
165;Comoros (the);COM;1413;1415;1422;1437;1432;1413;1411;1414
137;Congo (the);COG;5186;5214;5271;5317;5538;5543;5251;4881
176;Congo (the Democratic Republic of the);COD;660;682;707;742;785;812;805;808
63;Costa Rica;CRI;13000;13397;13878;14035;14372;14739;15195;15525
46;Croatia;HRV;20172;20750;20347;20271;20334;20984;21800;22670
32;Cyprus;CYP;33941;33193;31691;29880;29786;30549;31442;32415
27;Czechia;CZE;28353;28797;28527;28380;29120;30605;31339;32606
170;Côte d'Ivoire;CIV;2690;2511;2712;2880;3055;3242;3425;3601
11;Denmark;DNK;43998;44403;44337;44564;45057;45459;45991;46683
94;Dominican Republic (the);DOM;11133;11334;11495;11907;12663;13396;14120;14601
86;Ecuador;ECU;9352;9927;10322;10665;10901;10749;10424;10582
115;Egypt;EGY;9857;9824;9822;9814;9880;10096;10324;10550
121;El Salvador;SLV;6301;6511;6664;6790;6891;7020;7164;7292
30;Estonia;EST;22741;24543;25692;26283;27114;27550;28110;29481
144;Eswatini;SWZ;7297;7324;7529;7865;7871;7758;7724;7739
173;Ethiopia;ETH;1074;1163;1231;1326;1425;1533;1608;1730
15;Finland;FIN;39848;40684;39913;39428;39018;38942;39659;40586
24;France;FRA;36856;37441;37328;37350;37524;37766;38063;38606
110;Gabon;GAB;15356;15894;16160;16503;16679;16837;16757;16562
70;Georgia;GEO;6734;7315;7881;8254;8749;9025;9277;9745
5;Germany;DEU;40429;42693;42822;42914;43561;43938;44432;45229
140;Ghana;GHA;3059;3404;3632;3807;3869;3927;3983;4228
31;Greece;GRC;28726;26141;24364;23746;24082;24170;24212;24574
127;Guatemala;GTM;6714;6844;6899;7005;7147;7293;7369;7424
175;Guinea;GIN;1574;1626;1684;1712;1735;1758;1894;2081
177;Guinea-Bissau;GNB;1400;1475;1413;1421;1398;1446;1499;1549
125;Guyana;GUY;5848;6131;6420;6697;6906;7077;7266;7435
168;Haiti;HTI;1502;1562;1585;1629;1653;1651;1654;1653
133;Honduras;HND;3971;4046;4137;4178;4231;4319;4407;4542
45;Hungary;HUN;22404;22841;22582;23119;24161;25034;25664;26778
6;Iceland;ISL;38978;39622;39932;41260;41701;43048;45631;46483
130;India;IND;4405;4636;4828;5074;5385;5757;6096;6427
116;Indonesia;IDN;8433;8838;9251;9643;10003;10368;10766;11189
120;Iraq;IRQ;12718;13262;14626;15224;14838;15073;16242;15664
4;Ireland;IRL;44030;45147;44973;45470;48898;60818;63227;67335
22;Israel;ISR;29743;30558;30582;31251;31702;32024;32688;33132
28;Italy;ITA;36201;36347;35228;34220;33946;34302;34655;35220
97;Jamaica;JAM;7996;8099;8016;8025;8051;8095;8180;8194
19;Japan;JPN;35750;35775;36368;37149;37337;37883;38283;39002
95;Jordan;JOR;9473;9214;8964;8757;8622;8491;8390;8337
58;Kazakhstan;KAZ;20097;21277;21986;22972;23587;23524;23447;24056
