Country	Country Code	2010	2011	2012	2013	2014	2015	2016	2017
Afghanistan	AFG	8.433290482	6.113685169	14.43474129	3.900574875	2.690521948	1.310040404	2.366711916	2.595542453
Albania	ALB	3.710057793	2.55016086	1.419967541	1.0007546	1.774368743	2.218752054	3.352159211	3.841363666
Algeria	DZA	3.634145353	2.891865995	3.374768651	2.767638867	3.789121212	3.763466958	3.3	1.7
American Samoa	ASM	0.442477876	0.293685756	-4.39238653	-2.756508423	0.94488189	1.248049922	-2.619414484	
Andorra	AND	-5.358825775	-4.646543052	-1.615218183	0.351645002	2.277683153	0.842203518	1.889124387	1.873196616
Angola	AGO	3.452874648	3.873330694	5.177593943	6.842716537	4.703970617	2.999747493	-0.813494096	0.721699272
Antigua and Barbuda	ATG	-7.200024461	-2.079127047	3.506609222	-0.103939141	5.101940364	4.060218963	5.342479435	3.337049215
Argentina	ARG	10.12539816	6.003951693	-1.026420454	2.405323781	-2.512615321	2.731159828	-1.82254217	2.863922897
Armenia	ARM	2.199999999	4.699999999	7.200000003	3.300000002	3.600000001	3.200000002	0.199999998	7.499999999
Australia	AUS	2.052942004	2.451105083	3.891940026	2.639482357	2.558337523	2.351136441	2.827310511	1.957575422
Austria	AUT	1.837094592	2.922797636	0.680444374	0.025504101	0.828733875	1.091854232	1.450915438	3.035272679
Azerbaijan	AZE	4.854339324	0.065922768	2.200000188	5.796678396	2	1.099999809	-3.100000202	0.099999814
Bahamas. The	BHS	1.538777407	0.612897452	3.08668686	-0.410428618	-0.147988573	1.044959524	-1.689549856	1.437191339
Bahrain	BHR	4.334407088	1.983823256	3.732251521	5.416503715	4.34984233	2.861967825	3.215933639	3.884830534
Bangladesh	BGD	5.571802274	6.46438388	6.521435078	6.013596067	6.061093054	6.552633316	7.113465228	7.284208377
Barbados	BRB	0.3	0.7	0.3	0	0	0.9	2	1.671064204
Belarus	BLR	7.793697905	5.543710696	1.731392764	1.023985463	1.723085689	-3.829569366	-2.526450606	2.421906267
Belgium	BEL	2.744213272	1.798302659	0.234796924	0.200650444	1.293265235	1.426956809	1.412292015	1.729766762
Belize	BLZ	3.32444222	2.103950804	3.801292507	0.713299838	4.045302801	3.794991955	-0.486536511	0.883603673
Benin	BEN	2.110199297	2.962750351	4.816478241	7.189716312	6.351831941	2.095808383	3.96485991	5.584195081
Bhutan	BTN	11.73085436	7.890913893	5.071709815	2.142496554	5.745455168	6.597448486	7.990705411	6.818777705
Bolivia	BOL	4.126722565	5.204092718	5.122274661	6.796011706	5.460569752	4.857187895	4.263919404	4.195207019
Bosnia and Herzegovina	BIH	0.86798323	0.955704511	-0.821736963	2.349390744	1.149628083	3.07674732	3.144077384	3.031388275
Botswana	BWA	8.563631748	6.048316367	4.456167213	11.34342425	4.149252786	-1.697930592	4.31550627	2.359197082
Brazil	BRA	7.541798636	3.985277615	1.933107889	3.010305581	0.508210254	-3.549767247	-3.468162856	0.976085681
Brunei Darussalam	BRN	2.598965746	3.745318352	0.912841671	-2.126028517	-2.34974675	-0.566814609	-2.46551471	1.328751395
Bulgaria	BGR	1.324087801	1.914905853	0.030969869	0.862165094	1.328756736	3.617459615	3.941097844	3.561642856
Burkina Faso	BFA	5.373373126	6.626865192	6.452698755	5.792589317	4.326837357	3.894548057	5.924577561	6.742653542
Burundi	BDI	3.785902543	4.191625681	4.01936553	4.594054218	4.660918184	-3.921142751	-0.570434451	0.51913901
Cabo Verde	CPV	1.466790097	3.968886345	1.081918279	0.802797601	0.611212666	1.006863728	3.817470428	3.891335233
Cambodia	KHM	5.963078575	7.069569946	7.313345505	7.356665149	7.142571101	7.036087179	6.953094396	6.814723618
Cameroon	CMR	3.422507641	4.129277161	4.543265016	5.40426571	5.884059327	5.651463744	4.450453266	3.177084706
Canada	CAN	3.08351422	3.141219001	1.745472283	2.475001859	2.855739204	1.000882494	1.414102746	3.047350681
Central African Republic	CAF	3.046634733	3.300719157	4.112797869	-36.69995244	1.040018047	4.799886081	4.531285963	4.299938053
Chad	TCD	13.55010086	0.082869798	8.882576072	5.700001363	6.899985045	2.767675685	-6.255527085	-2.953771549
Chile	CHL	5.844177296	6.110918829	5.318628	4.045004298	1.766739784	2.305257138	1.265867603	1.489906004
China	CHN	10.63614046	9.536443008	7.85626211	7.757635146	7.297665959	6.900204817	6.7	6.9
Colombia	COL	3.971800705	6.589511516	4.043943806	4.874065579	4.39360834	3.052016573	2.043059733	1.768071778
Comoros	COM	2.199999982	2.600000088	2.999999972	3.499999994	2.061639469	1.015118459	2.200000023	2.5
Congo. Dem. Rep.	COD	7.107976576	6.87467089	7.086898947	8.481956636	9.470288098	6.91618781	2.399379098	3.70085075
Congo. Rep.	COG	8.751601459	3.420665681	3.799971313	3.440705249	6.779916158	2.646485877	-2.800018788	-4.589083578
Costa Rica	CRI	4.951863844	4.30710166	4.796919919	2.2690274	3.515338564	3.631690989	4.156361507	3.191803724
Cote d'Ivoire	CIV	2.017638592	-4.387254788	10.7065041	8.889421302	8.79407739	8.842865442	8.342113096	7.797005627
Croatia	HRV	-1.420441324	-0.32596709	-2.244694661	-0.648034654	-0.096176262	2.347349627	3.165417824	2.778282661
Cuba	CUB	2.390352297	2.802300836	3.014900289	2.747602563	1.047576632	4.438333589		
Cyprus	CYP	1.317777804	0.321196	-3.058274021	-5.933958448	-1.403767772	1.97906359	3.396787702	3.879754768
Czech Republic	CZE	2.273420052	1.777833187	-0.799844281	-0.483671041	2.715116132	5.309238519	2.59332602	4.289078941
Denmark	DNK	1.870992639	1.336774667	0.226468476	0.933349282	1.619374971	1.606608994	1.964077129	2.240138922
Dominica	DMA	0.672542759	-0.231011331	-1.073508102	-0.60763179	4.427687542	-2.543734679	2.638450556	-4.213529417
Dominican Republic	DOM	8.33965106	3.133423003	2.717367897	4.875205093	7.636031824	7.033371069	6.612208223	4.551815138
Ecuador	ECU	3.525298669	7.868140919	5.641962067	4.946511267	3.788868549	0.098872608	-1.576379183	2.998152934
Egypt. Arab Rep.	EGY	5.14510637	1.779594033	2.215608782	2.185466054	2.91591188	4.372019078	4.346643456	4.181221
El Salvador	SLV	2.106213123	3.811814778	2.81407469	2.375194341	1.979256733	2.377628955	2.580577366	2.322597438
Equatorial Guinea	GNQ	-8.924175889	6.52392363	8.312871844	-4.133192499	0.415061836	-9.089058793	-8.57588213	-3.220228142
Estonia	EST	2.259075894	7.597300209	4.307258988	1.936543444	2.890710968	1.674286623	2.063262785	4.854136829
Eswatini	SWZ	3.793754968	2.247229761	4.71815574	6.420804855	1.931010027	0.391128861	1.368694073	2.000625958
Ethiopia	ETH	12.55053834	11.17829624	8.647811635	10.58227004	10.25749296	10.39246302	7.56176669	10.24581085
Fiji	FJI	2.954672074	2.705142971	1.411313661	4.734220415	5.603514517	3.844407023	0.380003448	3.800000088
Finland	FIN	2.992337502	2.570817745	-1.42618936	-0.758036295	-0.631728091	0.135082255	2.135381815	2.634254746
France	FRA	1.965657376	2.079229174	0.182693034	0.576241546	0.947586472	1.067461647	1.187650381	1.819400181
Gabon	GAB	7.088692053	7.092010328	5.252365931	5.638928732	4.313995325	3.879257595	2.082380316	1.104719332
Gambia. The	GMB	6.526297452	-4.295121773	5.599761222	4.788921982	0.900000083	4.299999773	2.216333663	3.500000132
Georgia	GEO	6.24941822	7.22152322	6.350482702	3.387043755	4.62333166	2.880318509	2.848973396	4.98609476
Germany	DEU	4.079933305	3.660000155	0.491992829	0.489584482	1.92969041	1.743205394	1.943625428	2.222824755
Ghana	GHA	7.899711912	14.04712365	9.292789414	7.312525021	3.985865624	3.837040864	3.721902905	8.507156219
Greece	GRC	-5.479037108	-9.132494153	-7.300493935	-3.241425025	0.739777123	-0.290902297	-0.244314741	1.351328389
Greenland	GRL	1.735825059	-0.496519392	1.39419336	-1.694664658	5.312726049	0.31010915	7.662998895	
Grenada	GRD	-0.511266454	0.764825341	-1.155295176	2.352300913	7.34314562	6.437965461	3.683789093	3.730320732
Guam	GUM	2.091612633	0.12292563	2.025782689	1.845166466	1.555730603	0.484777972	0.347356233	
Guatemala	GTM	2.869902893	4.161945918	2.970025412	3.697177338	4.174400627	4.140044358	3.092487959	2.760329473
Guinea	GIN	4.820715414	5.612104279	5.916911732	3.934784025	3.707451613	3.81494989	10.45410582	8.24984423
Guinea-Bissau	GNB	4.61097091	8.084779738	-1.712683013	3.25590425	0.964560752	6.134082942	6.262805645	5.91897567
Guyana	GUY	4.138443121	5.196298129	5.276306143	5.000564991	3.846923912	3.162407787	3.316131655	2.924668313
Haiti	HTI	-5.497792337	5.523737754	2.885096051	4.234052891	2.810148498	1.211218343	1.452707027	1.173279505
Honduras	HND	3.731140344	3.835690662	4.128687749	2.791559757	3.058080562	3.840079971	3.75214891	4.78529791
Hong Kong SAR. China	HKG	6.767682599	4.814687282	1.700307798	3.10148883	2.762416633	2.38784571	2.162923295	3.79134856
Hungary	HUN	0.682378151	1.661916737	-1.643779899	2.096216708	4.227733353	3.367145175	2.21318749	3.98871037
