"HDI Rank (2017)","Country","2010","","2011","","2012","","2013","","2014","","2015","","2016","","2017",""
"168"," Afghanistan","","","","","","","10.8","","10.8","","10.8","","10.8","","10.8"," a,b"
"68"," Albania","14.4","","18.3","","18.3","","18.3","","18.3","","18.3","","18.3","","12.2"," a,b"
"85"," Algeria","","","","","","","","","","","","","","","11.4"," a,b"
"147"," Angola","36.4","","50.0","","50.0","","50.0","","28.9","","28.9","","28.9","","28.9"," a,b"
"47"," Argentina","34.4","","34.4","","34.4","","28.1","","26.3","","27.4","","26.5","","25.8"," a,b"
"83"," Armenia","10.8","","10.8","","13.9","","14.3","","13.9","","13.9","","13.9","","17.4"," a,b"
"3"," Australia","16.6","","16.6","","16.6","","16.6","","17.7","","17.7","","17.7","","17.7"," a,b"
"20"," Austria","15.1","","15.1","","12.7","","13.8","","15.5","","17.5","","16.5","","17.7"," a,b"
"80"," Azerbaijan","4.4","","4.5","","4.5","","4.5","","8.9","","8.9","","8.9","","8.9"," a,b"
"54"," Bahamas","24.5","","24.5","","","","24.5","","","","","","","","",""
"136"," Bangladesh","14.8","","17.7","","17.7","","28.3","","28.3","","28.3","","28.3","","15.7"," a,b"
"58"," Barbados","16.1","","","","","","","","","","","","","","33.6"," a,b"
"53"," Belarus","11.1","","12.1","","12.1","","11.1","","10.8","","9.7","","10.8","","10.8"," a,b"
"17"," Belgium","15.1","","11.7","","11.9","","12.3","","11.6","","12.7","","13.6","","13.7"," a,b"
"106"," Belize","48.5","","","","","","37.9","","37.9","","37.9","","37.9","","37.9"," a,b"
"163"," Benin","19.2","","23.6","","23.6","","23.6","","29.4","","29.4","","29.4","","30.3"," a,b"
"134"," Bhutan","","","","","23.1","","25.1","","19.6","","19.6","","19.6","","19.6"," a,b"
"118"," Bolivia (Plurinational State of)","54.2","","47.2","","47.4","","36.1","","36.1","","36.4","","33.5","","31.8"," a,b"
"77"," Bosnia and Herzegovina","31.1","","19.3","","19.2","","19.2","","20.2","","20.2","","20.2","","20.2"," a,b"
"101"," Botswana","","","","","","","55.5","","55.5","","55.5","","55.5","","",""
"79"," Brazil","37.6","","40.7","","39.7","","39.7","","38.7","","37.8","","38.0","","36.7"," a,b"
"51"," Bulgaria","16.1","","19.9","","15.4","","18.8","","17.8","","18.2","","21.8","","23.6"," a,b"
"183"," Burkina Faso","25.3","","25.3","","23.4","","24.2","","24.2","","24.2","","24.2","","24.2"," a,b"
"185"," Burundi","24.9","","","","","","13.2","","14.1","","14.1","","14.1","","20.9"," a,b"
"125"," Cabo Verde","","","","","","","28.0","","28.0","","28.0","","28.0","","",""
"146"," Cambodia","21.4","","21.4","","20.3","","20.3","","20.3","","20.3","","14.3","","14.3"," a,b"
"151"," Cameroon","19.9","","19.9","","19.9","","23.1","","23.1","","23.1","","23.1","","35.9"," a,b"
"12"," Canada","17.1","","17.1","","17.1","","13.9","","17.4","","17.4","","17.4","","17.4"," a,b"
"188"," Central African Republic","28.1","","28.1","","28.1","","28.1","","49.2","","49.2","","49.2","","49.2"," a,b"
"186"," Chad","20.8","","21.0","","21.0","","21.0","","30.7","","30.7","","28.4","","28.4"," a,b"
"44"," Chile","34.1","","34.1","","34.1","","36.0","","36.0","","35.5","","32.6","","31.1"," a,b"
"86"," China","29.5","","29.5","","29.5","","29.5","","29.5","","29.5","","29.5","","23.3"," a,b"
"90"," Colombia","43.6","","53.9","","44.5","","41.5","","37.4","","39.4","","37.5","","36.2"," a,b"
"165"," Comoros","54.0","","","","","","","","56.0","","56.0","","56.0","","56.0"," a,b"
"137"," Congo","22.0","","30.3","","30.3","","30.3","","21.2","","21.2","","21.2","","21.2"," a,b"
"176"," Congo (Democratic Republic of the)","22.1","","36.8","","36.8","","31.2","","28.2","","28.2","","28.2","","28.2"," a,b"
"63"," Costa Rica","33.7","","33.7","","37.9","","34.3","","34.3","","34.1","","33.7","","32.4"," a,b"
"46"," Croatia","27.8","","27.8","","27.8","","17.6","","17.2","","17.7","","17.7","","17.3"," a,b"
"32"," Cyprus","13.8","","10.9","","13.6","","14.9","","15.0","","15.9","","22.9","","18.7"," a,b"
"27"," Czechia","12.2","","9.6","","10.7","","11.3","","11.0","","11.1","","11.3","","10.8"," a,b"
"170"," C�te d'Ivoire","20.5","","34.4","","34.4","","28.1","","27.4","","27.4","","27.4","","27.4"," a,b"
